"id","age","gender","traffic_source","category","retail_price"
79128,14,"M","Search","Accessories",3
84559,50,"M","Search","Accessories",3
64034,58,"F","Organic","Accessories",3.5
74318,39,"F","Search","Accessories",3.5
91110,52,"F","Search","Plus",3.5
56546,18,"M","Search","Accessories",3.5
78861,61,"F","Search","Plus",3.5
93034,13,"F","Search","Plus",3.5
53818,55,"M","Search","Socks",4.5
78527,12,"M","Search","Accessories",4.5
2662,50,"M","Search","Accessories",4.5
75903,18,"M","Search","Socks",4.5
36825,42,"M","Search","Accessories",5
69988,33,"M","Search","Active",5
71734,49,"F","Search","Socks & Hosiery",5
84362,31,"M","Email","Tops & Tees",5
91899,59,"F","Organic","Intimates",5
36468,70,"M","Search","Accessories",5
98116,25,"F","Search","Socks & Hosiery",5
99823,29,"F","Display","Socks & Hosiery",5.5
52076,52,"F","Search","Socks & Hosiery",5.5
4261,26,"F","Search","Plus",6
4275,16,"F","Search","Socks & Hosiery",6
5264,47,"M","Search","Socks",6
5302,20,"F","Search","Intimates",6
20117,64,"F","Facebook","Accessories",6
21273,32,"F","Search","Socks & Hosiery",6
22262,47,"F","Display","Intimates",6
36744,55,"M","Search","Socks",6
41775,33,"F","Search","Intimates",6
42440,43,"F","Search","Leggings",6
46987,30,"F","Search","Accessories",6
76199,44,"F","Search","Intimates",6
84134,28,"F","Search","Socks & Hosiery",6
15847,69,"F","Search","Socks & Hosiery",6
37544,70,"F","Search","Accessories",6
57104,53,"F","Facebook","Socks & Hosiery",6
59620,32,"F","Search","Intimates",6
82116,29,"F","Search","Leggings",6
84698,52,"F","Search","Accessories",6
88093,35,"F","Facebook","Socks & Hosiery",6
2021,25,"F","Organic","Plus",6.25
5656,13,"M","Display","Accessories",6.5
15727,64,"F","Search","Socks & Hosiery",6.5
37287,16,"F","Search","Socks & Hosiery",6.5
52992,28,"M","Search","Socks",6.5
70679,37,"F","Search","Leggings",6.5
72577,66,"F","Organic","Socks & Hosiery",6.5
87247,20,"F","Search","Socks & Hosiery",6.5
42377,37,"M","Search","Socks",6.5
45461,26,"F","Search","Socks & Hosiery",6.5
52983,41,"M","Search","Accessories",6.5
74720,20,"M","Email","Socks",6.5
3359,61,"F","Search","Intimates",7
6371,18,"F","Facebook","Socks & Hosiery",7
6585,24,"F","Search","Socks & Hosiery",7
12287,21,"M","Search","Underwear",7
22026,55,"F","Search","Intimates",7
30649,55,"M","Organic","Accessories",7
41859,40,"M","Search","Socks",7
44742,57,"F","Search","Accessories",7
45034,57,"F","Search","Plus",7
59723,42,"M","Facebook","Underwear",7
63245,42,"M","Search","Underwear",7
70550,25,"F","Search","Plus",7
70721,40,"F","Search","Intimates",7
76398,38,"F","Search","Socks & Hosiery",7
78102,57,"F","Display","Accessories",7
85970,61,"F","Organic","Intimates",7
74042,23,"F","Search","Accessories",7
69761,33,"F","Search","Shorts",7.25
956,58,"F","Search","Intimates",7.5
7612,53,"F","Search","Socks & Hosiery",7.5
83264,52,"F","Search","Socks & Hosiery",7.5
90452,64,"F","Email","Socks & Hosiery",7.5
8644,13,"M","Organic","Socks",7.5
11041,41,"M","Search","Socks",7.5
12864,48,"M","Search","Socks",7.5
91023,40,"F","Organic","Socks & Hosiery",7.75
1854,13,"F","Search","Intimates",8
7299,23,"M","Email","Socks",8
